                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8366,                 1.6172,                   1.23,                0.73216,                 0.4057,                0.45729,                0.22342,                 1.6173,                 1.0335,                 1.1176,              0.0033324,              0.0033324,              0.0033324
                      2,                 1.6996,                 1.1415,                 1.1168,                0.74462,                0.42432,                0.48077,                0.23546,                 1.5982,                 0.9299,                 1.0967,              0.0066437,              0.0066437,              0.0066437
                      3,                 1.6942,                 1.0916,                 1.1144,                0.75214,                0.41787,                0.48389,                0.24459,                 1.5876,                0.91869,                 1.1124,               0.009933,               0.009933,               0.009933
                      4,                 1.7002,                 1.0721,                 1.1165,                 0.7459,                0.43503,                0.49319,                0.24855,                 1.5479,                0.88047,                 1.0963,               0.009901,               0.009901,               0.009901
                      5,                 1.6564,                 1.0036,                 1.1029,                0.75251,                0.44131,                0.50205,                0.25468,                  1.526,                0.86462,                 1.0938,               0.009901,               0.009901,               0.009901
                      6,                 1.6158,                0.96155,                 1.0948,                0.77936,                0.44961,                0.51763,                0.26644,                 1.5144,                0.82764,                  1.092,               0.009868,               0.009868,               0.009868
                      7,                 1.6037,                0.94048,                 1.0802,                0.77111,                0.46326,                0.52994,                0.27099,                 1.5069,                0.79548,                 1.0745,               0.009835,               0.009835,               0.009835
                      8,                 1.5843,                0.92476,                 1.0833,                 0.7791,                0.46007,                0.52712,                0.27167,                 1.4899,                0.78321,                  1.079,               0.009802,               0.009802,               0.009802
                      9,                 1.5674,                0.89715,                 1.0711,                0.77923,                0.46449,                0.53776,                0.28055,                   1.47,                0.76636,                  1.068,               0.009769,               0.009769,               0.009769
                     10,                 1.5512,                0.87952,                 1.0653,                0.77521,                0.47389,                0.54483,                0.28164,                 1.4713,                 0.7573,                 1.0651,               0.009736,               0.009736,               0.009736
                     11,                 1.5439,                0.87521,                 1.0637,                0.77805,                0.48045,                0.55307,                0.28919,                 1.4537,                0.74462,                 1.0681,               0.009703,               0.009703,               0.009703
                     12,                 1.5349,                0.86626,                 1.0638,                0.79144,                0.48473,                0.55704,                 0.2906,                 1.4447,                0.74001,                 1.0585,                0.00967,                0.00967,                0.00967
                     13,                 1.5389,                 0.8634,                 1.0593,                0.79582,                0.48468,                0.55985,                0.29173,                 1.4378,                0.72863,                 1.0536,               0.009637,               0.009637,               0.009637
                     14,                  1.527,                0.85232,                 1.0575,                0.79959,                0.48924,                0.56194,                0.29369,                 1.4325,                0.72248,                 1.0529,               0.009604,               0.009604,               0.009604
                     15,                 1.5167,                0.83858,                 1.0472,                0.79612,                0.50162,                0.57528,                0.30143,                 1.4291,                0.70915,                 1.0517,               0.009571,               0.009571,               0.009571
                     16,                  1.511,                0.84003,                 1.0572,                0.79682,                0.49903,                0.57238,                0.29949,                 1.4255,                0.70613,                 1.0467,               0.009538,               0.009538,               0.009538
                     17,                 1.5004,                0.82738,                 1.0452,                0.80276,                0.50093,                0.57732,                0.30315,                 1.4102,                0.70162,                   1.04,               0.009505,               0.009505,               0.009505
                     18,                 1.4945,                0.82371,                  1.046,                0.80777,                    0.5,                0.57768,                0.30523,                 1.4061,                0.69825,                 1.0444,               0.009472,               0.009472,               0.009472
                     19,                 1.4989,                0.82164,                  1.049,                0.80186,                0.50044,                0.57537,                 0.3031,                 1.4107,                0.69426,                 1.0475,               0.009439,               0.009439,               0.009439
                     20,                 1.4915,                0.81587,                 1.0433,                0.80456,                0.51095,                0.58619,                0.30709,                 1.4054,                0.68744,                 1.0408,               0.009406,               0.009406,               0.009406
                     21,                 1.4793,                0.80911,                 1.0439,                0.80117,                0.50482,                0.58149,                0.30702,                 1.4053,                0.68784,                 1.0416,               0.009373,               0.009373,               0.009373
                     22,                 1.4898,                0.81082,                  1.045,                0.80043,                0.50707,                 0.5833,                0.30586,                 1.4035,                0.67973,                 1.0387,                0.00934,                0.00934,                0.00934
                     23,                 1.4828,                0.80697,                 1.0414,                0.80335,                0.51238,                0.58912,                0.31067,                 1.3903,                0.67495,                 1.0341,               0.009307,               0.009307,               0.009307
                     24,                 1.4826,                0.80751,                 1.0396,                0.79396,                0.51665,                0.58972,                0.31185,                 1.3907,                0.67116,                 1.0299,               0.009274,               0.009274,               0.009274
